,ts,ne,mf,score,mae,time
0,0.1,0,sqrt,-0.3239992712767472,0.05160119828520087,0.19651019992306828
1,0.1,0,log2,-0.40819231020589686,0.053475983914245934,0.17662330018356442
2,0.1,0,,-0.3689700804074467,0.05232888217878844,0.36953629995696247
3,0.1,1,sqrt,0.009831466102879882,0.047050608257127036,0.14225960010662675
4,0.1,1,log2,0.0032120515371684144,0.04674415325078596,0.16611250001005828
5,0.1,1,,-0.14971039751354653,0.04955554868590345,0.4623817000538111
6,0.1,2,sqrt,0.21546050714619092,0.04228188326248617,0.29550720006227493
7,0.1,2,log2,0.19345341411455463,0.04286282989825755,0.2756940999533981
8,0.1,2,,0.17812627983206764,0.04318292239059541,0.7862198997754604
9,0.1,3,sqrt,0.3066128290955715,0.03845344931960858,0.37566820019856095
10,0.1,3,log2,0.28558339908067276,0.03954209425536493,0.380792299984023
11,0.1,3,,0.28932275436037946,0.0405254110368353,1.1406909001525491
12,0.1,4,sqrt,0.3644551872886823,0.037706014423274294,0.7677515998948365
13,0.1,4,log2,0.33776431028884246,0.037694361498091696,0.6341643000487238
14,0.1,4,,0.32630561014103876,0.03863335496603362,1.999030499951914
15,0.1,5,sqrt,0.37081893562128965,0.03690064578919005,1.3718427000567317
16,0.1,5,log2,0.3595865991296845,0.03709897862014847,2.0214489998761564
17,0.1,5,,0.3479561513591133,0.03722417906606715,7.795476499944925
18,0.1,6,sqrt,0.3836411888296687,0.03584470515386554,2.7420621998608112
19,0.1,6,log2,0.3765242799508397,0.035846195219193466,3.0822066999971867
20,0.1,6,,0.36136087832240715,0.03643309824214658,9.939138000132516
21,0.1,7,sqrt,0.3912959506824152,0.0351460000931916,5.7168499999679625
22,0.1,7,log2,0.3804118586239964,0.03544049613523168,8.185573499882594
23,0.1,7,,0.36892570800558955,0.03604021160600459,21.131430099951103
24,0.2,0,sqrt,-0.30423374131844594,0.05395272894850121,0.1467039999552071
25,0.2,0,log2,-0.35904005805409844,0.054981361897932075,0.1315487998072058
26,0.2,0,,-0.3019176565715136,0.0548392862215698,0.24588950001634657
27,0.2,1,sqrt,0.038699687679095485,0.04855548322732906,0.1264359001070261
28,0.2,1,log2,0.002730527784493675,0.05002691383803892,0.12581319990567863
29,0.2,1,,0.02150323763204287,0.04911013039668969,0.42687100009061396
30,0.2,2,sqrt,0.20874897695972416,0.04474488516876968,0.23737709992565215
31,0.2,2,log2,0.22441976619551385,0.04431631495761488,0.24750509997829795
32,0.2,2,,0.21982810542877407,0.04512284427449231,0.6637359999585897
33,0.2,3,sqrt,0.2946603156659039,0.041959754928521165,0.49653990007936954
34,0.2,3,log2,0.2814673632328698,0.04222557836821349,0.39744520001113415
35,0.2,3,,0.27937816886718125,0.04260737700170378,0.9752575000748038
