,split_data,alpha,warm_start,selection,fit_intercept,score,mae,rmse,r2,mape,residuales,time
1994,3,0.01,True,random,True,-0.00012672095120458415,0.039189887560701,0.08267873803528203,-0.00012672095120458415,0.09724819919233277,"[-0.00019253 -0.00019253 -0.00019253 ... -0.00019253 -0.00019253
 -0.00019253]",0.004440599994268268
1995,3,0.01,True,random,False,-0.8326242700998452,0.07696218764293535,0.1119187988961738,-0.8326242700998452,0.1702857304077041,[0.03148659 0.05184746 0.05584608 ... 0.02686923 0.02279705 0.01872488],0.028323500009719282
1996,3,0.01,False,cyclic,True,-0.00012672095120458415,0.039189887560701,0.08267873803528203,-0.00012672095120458415,0.09724819919233277,"[-0.00019253 -0.00019253 -0.00019253 ... -0.00019253 -0.00019253
 -0.00019253]",0.005469299969263375
1997,3,0.01,False,cyclic,False,-0.8320754284516632,0.07693089560500704,0.11190203869640365,-0.8320754284516632,0.17024341215952346,[0.03124865 0.05160685 0.05567849 ... 0.02656646 0.02249482 0.01842318],0.010490700020454824
1998,3,0.01,False,random,True,-0.00012672095120458415,0.039189887560701,0.08267873803528203,-0.00012672095120458415,0.09724819919233277,"[-0.00019253 -0.00019253 -0.00019253 ... -0.00019253 -0.00019253
 -0.00019253]",0.014127800008282065
1999,3,0.01,False,random,False,-0.832824426734021,0.07697133657205274,0.11192491053586656,-0.832824426734021,0.17029662530004266,[0.03163483 0.05200189 0.05593972 ... 0.02712662 0.0230532  0.01897979],0.020578399999067187
2000,3,0.001,True,cyclic,True,-0.017711252421131807,0.04716595011232294,0.08340241226033153,-0.017711252421131807,0.11451235500073065,"[ 0.0080598   0.00664555  0.006658   ... -0.02124921 -0.02113042
 -0.02101162]",0.0042428000015206635
2001,3,0.001,True,cyclic,False,-1.8709710255577852,0.10934415137464241,0.14008148226543385,-1.8709710255577852,0.25358344973971897,"[-0.01794873 -0.01065477 -0.00476336 ... -0.13075285 -0.13469135
 -0.13862986]",0.014355799998156726
2002,3,0.001,True,random,True,-0.017675503933742176,0.047164304856776716,0.08340094743607085,-0.017675503933742176,0.1145074071460875,"[ 0.00805075  0.00664224  0.0066533  ... -0.0212333  -0.02111424
 -0.02099518]",0.006676500022877008
2003,3,0.001,True,random,False,-1.8806940937007464,0.10963506030682714,0.14031848754173,-1.8806940937007464,0.2542277708792617,"[-0.01810502 -0.01087945 -0.00498623 ... -0.13143848 -0.13537198
 -0.13930549]",0.02576489996863529
2004,3,0.001,False,cyclic,True,-0.017711252421131807,0.04716595011232294,0.08340241226033153,-0.017711252421131807,0.11451235500073065,"[ 0.0080598   0.00664555  0.006658   ... -0.02124921 -0.02113042
 -0.02101162]",0.009770400007255375
2005,3,0.001,False,cyclic,False,-1.8709710255577852,0.10934415137464241,0.14008148226543385,-1.8709710255577852,0.25358344973971897,"[-0.01794873 -0.01065477 -0.00476336 ... -0.13075285 -0.13469135
 -0.13862986]",0.01441750000230968
2006,3,0.001,False,random,True,-0.017508945206873294,0.04715009921752733,0.08339412221329878,-0.017508945206873294,0.11447242935056721,"[ 0.00801389  0.00662484  0.00663144 ... -0.02116196 -0.02104216
 -0.02092236]",0.004781299969181418
2007,3,0.001,False,random,False,-1.8696033879111411,0.10929753335124062,0.14004811314951698,-1.8696033879111411,0.2534806442863487,"[-0.01753399 -0.01025548 -0.0045108  ... -0.13025287 -0.13419481
 -0.13813675]",0.03161449998151511
2008,3,0.0001,True,cyclic,True,-0.11445582105832974,0.05477491815627058,0.08727658653957696,-0.11445582105832974,0.1314112996186842,"[ 0.03319231  0.01811172  0.02009018 ... -0.05558987 -0.05534719
 -0.05510451]",0.005064499971922487
2009,3,0.0001,True,cyclic,False,-2.4792689606350646,0.12350310179930603,0.15420921454780168,-2.4792689606350646,0.2853015694533309,"[-0.00885042 -0.00961261 -0.00181683 ... -0.16646889 -0.17075047
 -0.17503205]",0.012834299996029586
2010,3,0.0001,True,random,True,-0.11445317974897451,0.05477478801359795,0.08727648311483964,-0.11445317974897451,0.1314109845233495,"[ 0.03319215  0.01811172  0.02009014 ... -0.05558966 -0.05534698
 -0.05510429]",0.012362700013909489
2011,3,0.0001,True,random,False,-2.487720522450122,0.12372101973537991,0.15439639728797805,-2.487720522450122,0.2857822323131133,"[-0.00902001 -0.00980598 -0.00201082 ... -0.16687444 -0.17115362
 -0.17543279]",0.036409699998330325
2012,3,0.0001,False,cyclic,True,-0.11445582105832974,0.05477491815627058,0.08727658653957696,-0.11445582105832974,0.1314112996186842,"[ 0.03319231  0.01811172  0.02009018 ... -0.05558987 -0.05534719
 -0.05510451]",0.013450400030706078
2013,3,0.0001,False,cyclic,False,-2.4792689606350646,0.12350310179930603,0.15420921454780168,-2.4792689606350646,0.2853015694533309,"[-0.00885042 -0.00961261 -0.00181683 ... -0.16646889 -0.17075047
 -0.17503205]",0.012637600011657923
2014,3,0.0001,False,random,True,-0.11447550394910411,0.0547762138030906,0.08727735725112186,-0.11447550394910411,0.13141429914654387,"[ 0.03319336  0.01811152  0.02009017 ... -0.0555946  -0.05535192
 -0.05510924]",0.010595700005069375
2015,3,0.0001,False,random,False,-2.4767503093408147,0.12343950060109309,0.15415338822933597,-2.4767503093408147,0.28516140655029387,"[-0.00851904 -0.00926257 -0.00161875 ... -0.16589002 -0.17017375
 -0.17445748]",0.03239239996764809
2016,3,0.0,True,cyclic,True,-0.12300289066839687,0.055172594636801395,0.08761062143947605,-0.12300289066839687,0.13191150221327858,"[ 0.03828315  0.02163769  0.02368616 ... -0.05576448 -0.05551343
 -0.05526238]",0.11033249995671213
2017,3,0.0,True,cyclic,False,-2.55801873847626,0.1251743931199302,0.1559446353879729,-2.55801873847626,0.2890241117278802,"[-0.00892726 -0.01061621 -0.00208218 ... -0.17190939 -0.17622786
 -0.18054633]",0.08611069998005405
2018,3,0.0,True,random,True,-0.12306162139654275,0.05518018002083055,0.08761291233665942,-0.12306162139654275,0.13193667989703442,"[ 0.03811986  0.02147344  0.02359258 ... -0.05602756 -0.05577696
 -0.05552636]",0.10974270000588149
2019,3,0.0,True,random,False,-2.5475935639546785,0.12492809585780167,0.15571600496335952,-2.5475935639546785,0.28847552244287633,"[-0.00730563 -0.00890441 -0.00113728 ... -0.16929953 -0.17362305
 -0.17794657]",0.07972779998090118
