,model,mse,rmse,mae,r2,mape,time,i,train,test
0,AdaBoost,0.01037311696231387,0.10184850004940607,0.06964006638423273,-0.21342068024329364,803032217927.6176,0.7882391000166535,0,3157,3153
1,Boosting,0.009074484606241152,0.09526008926219391,0.05724456574633985,-0.06150999007980329,700715769595.4966,1.5219596999813803,0,3157,3153
2,DecisionTree,0.008133027943866923,0.09018330191264302,0.03841830275678505,0.048619201351090546,713846594801.4363,0.005869099986739457,0,3157,3153
3,LassoReg,0.008548903742933748,0.09246028197520137,0.037338129497450384,-2.8885509758103112e-05,714472575652.0319,0.002894399978686124,0,3157,3153
4,PCR,0.00762926577013299,0.08734566829633277,0.04471182817629685,0.10754801144297221,717015243228.494,0.00843039999017492,0,3157,3153
5,Bagging,0.01086485243639818,0.1042346028744686,0.0704486163222943,-0.27094263778324246,761943704967.2708,15.60304570000153,0,3157,3153
6,RF,0.009208619167254106,0.0959615504629542,0.06382456334732575,-0.07720070781293953,817428213946.9744,4.948661900009029,0,3157,3153
7,LinearReg,0.009131401660271701,0.09555836781921143,0.06427453395800846,-0.06816800142490909,835633276703.3442,0.009288600005675107,0,3157,3153
8,BayesRidge,0.006956949054728853,0.0834083272505141,0.04366515966144879,0.18619390053382923,749453297944.6818,0.07288690004497766,0,3157,3153
9,RidgeReg,0.007024793519656877,0.08381404130369134,0.04515599395789234,0.17825762862223382,762629360729.6433,0.005557900003623217,0,3157,3153
10,PLS,0.00691153714000745,0.08313565504648081,0.042421655998588256,0.191506070121099,721471500251.6327,0.021312299999408424,0,3157,3153
11,XGBoost,0.019940584831366237,0.14121113564930435,0.09780815672989325,-1.3325985909955644,848560318893.6515,0.813352000026498,0,3157,3153
12,AdaBoost,0.009124412154210131,0.09552178889766529,0.06038752378061372,-0.12757285348678993,1.658189105251521,0.43227310001384467,1,6310,3153
13,Boosting,0.008700770547519327,0.09327792100770324,0.051232813878820324,-0.07522024520487802,1.6121381304055982,1.8199346999754198,1,6310,3153
14,DecisionTree,0.007882919943685883,0.0887858093598627,0.043281606893004664,0.02584776043807835,1.585388483993341,0.012200099998153746,1,6310,3153
15,LassoReg,0.008092119929251353,0.08995621117661277,0.03905488411496622,-4.669360876841111e-06,1.5840286685223555,0.0023581000277772546,1,6310,3153
16,PCR,0.007966704826784592,0.08925639936040772,0.044173003574020125,0.015493826604535244,1.625783834280372,0.016834600013680756,1,6310,3153
17,Bagging,0.011461055615785145,0.10705631983112975,0.06915560197108661,-0.4163296184180718,1.754213702318035,0.7298276000074111,1,6310,3153
18,RF,0.010442696238163617,0.10218951139017945,0.06710169214154704,-0.2904832219715998,1.705730439131997,6.145571600005496,1,6310,3153
19,LinearReg,0.008434040407178794,0.09183703178554278,0.052134435062723895,-0.042258377593940244,1.5886336196026816,0.011933100002352148,1,6310,3153
20,BayesRidge,0.00841012753680256,0.09170674749876674,0.052024164620788245,-0.03930328273089767,1.587826654752753,0.00799459998961538,1,6310,3153
21,RidgeReg,0.008420324697874565,0.09176232722568976,0.05206981158746886,-0.04056342330906282,1.5880232535354801,0.004405400017276406,1,6310,3153
22,PLS,0.00843312295452194,0.09183203664583477,0.0518574981539336,-0.04214500100674279,1.5885571511497802,0.007257700024638325,1,6310,3153
23,XGBoost,0.013233905283321721,0.11503871210736724,0.08045357828667139,-0.6354141056861038,1.7505136458799004,0.27687739999964833,1,6310,3153
24,AdaBoost,0.007240440933121146,0.08509078054126161,0.049269159755951565,-0.05933267278955623,0.11847673992229708,0.7394564000423998,2,9463,3153
25,Boosting,0.007325811553071252,0.08559095485547087,0.047072173626680563,-0.07182305671020273,0.11372845493466327,4.011526399990544,2,9463,3153
26,DecisionTree,0.007092855775939588,0.08421909389170361,0.04455038826109709,-0.0377398194722911,0.10798334206215605,0.021219199988991022,2,9463,3153
