,model,mse,rmse,mae,r2,mape,time,i,train,test
0,AdaBoost,0.010411464980211078,0.10203658647863068,0.07036335764495306,-0.21790653325467568,828579938897.3383,0.3267422000062652,0,3157,3153
1,Boosting,0.009092674782270988,0.09535551783861795,0.0569771577227372,-0.06363783032801984,720082758911.5911,1.1995099000050686,0,3157,3153
2,DecisionTree,0.008133027943866925,0.09018330191264304,0.0384183027567852,0.048619201351090435,713846594801.4359,0.004561100038699806,0,3157,3153
3,LassoReg,0.008548903742933748,0.09246028197520137,0.037338129497450384,-2.8885509758103112e-05,714472575652.0319,0.001900100032798946,0,3157,3153
4,PCR,0.008142986378665739,0.09023849720970391,0.05014366301474934,0.04745428912927341,783729299970.0394,0.008038699976168573,0,3157,3153
5,Bagging,0.011041826383078891,0.10508009508502973,0.06715673117175272,-0.2916445972373609,801617698592.9802,2.956246299960185,0,3157,3153
6,RF,0.008879035569446867,0.0942286345515357,0.06293817351613977,-0.03864686185697108,835770509030.3176,2.477718800015282,0,3157,3153
7,LinearReg,5226471480772.817,2286147.73817722,282074.0800454926,-611379260690112.1,2.646558392162548e+19,0.006144299986772239,0,3157,3153
8,BayesRidge,0.006922323470581014,0.08320050162457564,0.04404005319279688,0.19024431276991383,764962998157.1226,0.0059207999729551375,0,3157,3153
9,RidgeReg,0.00698954641788605,0.08360350721043974,0.04552858391795869,0.18238074439955965,773095671032.6237,0.0027799999807029963,0,3157,3153
10,PLS,0.006932253115090996,0.08326015322524333,0.042559723834747876,0.18908276836241789,737850028546.0328,0.0044101999956183136,0,3157,3153
11,XGBoost,0.03608161890836121,0.18995162254732442,0.14440346474660562,-3.220735456770239,920840460417.6315,0.19890349998604506,0,3157,3153
12,AdaBoost,0.010617703917788048,0.10304224336546661,0.07211640792375773,-0.3121102490459049,1.797713834846465,0.3946437000413425,1,6310,3153
13,Boosting,0.008330315841652901,0.09127056393850594,0.05108073087874281,-0.029440345884057084,1.613257436019248,1.5603800999815576,1,6310,3153
14,DecisionTree,0.007882919943685887,0.08878580935986272,0.04328160689300349,0.025847760438078127,1.5853884839933468,0.017692099965643138,1,6310,3153
15,LassoReg,0.008092119929251353,0.08995621117661277,0.03905488411496622,-4.669360876841111e-06,1.5840286685223555,0.008270599995739758,1,6310,3153
16,PCR,0.007847071124505438,0.08858369559069794,0.045874017857610874,0.030277871074715468,1.6435697534371034,0.023417100019287318,1,6310,3153
17,Bagging,0.01047551690170029,0.10234997265119464,0.07215181382400149,-0.2945391204351848,1.746906856097866,0.5408380000153556,1,6310,3153
18,RF,0.009270218074379189,0.09628197169968628,0.0644969895080869,-0.1455911975380757,1.712691684451639,6.028427299985196,1,6310,3153
19,LinearReg,0.008625270823515994,0.09287233615838461,0.05465723458223554,-0.06589017135539477,1.6011252124022186,0.006902399996761233,1,6310,3153
20,BayesRidge,0.008508216681584163,0.09223999502159659,0.05404070808005455,-0.05142490273317235,1.5966536383975822,0.005682800023350865,1,6310,3153
21,RidgeReg,0.008529055307036529,0.09235288467089985,0.054153864065483885,-0.05400008982105753,1.597378142755282,0.0023214000393636525,1,6310,3153
22,PLS,0.008443152465712585,0.09188662832922201,0.05266193676964858,-0.04338442381680241,1.593289475278602,0.004680000012740493,1,6310,3153
23,XGBoost,0.013856328647430576,0.1177129077350083,0.08092824451470587,-0.7123316842526568,1.8281649295033828,0.2193332999595441,1,6310,3153
24,AdaBoost,0.0075028621764409815,0.08661906358556978,0.053309128683658495,-0.09772693629512497,0.12777456423719002,0.35879740002565086,2,9463,3153
25,Boosting,0.010681874727778292,0.10335315538375349,0.05874619521143506,-0.5628411322323617,0.13481771037708837,1.968722500023432,2,9463,3153
26,DecisionTree,0.007054881268363496,0.08399334061914371,0.044258680459485465,-0.03218385444474303,0.10821044995661987,0.014482299971859902,2,9463,3153
27,LassoReg,0.006835773685145451,0.08267873780571067,0.03918987698474705,-0.00012671539716602176,0.09724817409332423,0.0035251000081188977,2,9463,3153
28,PCR,0.006868448708495469,0.08287610456878068,0.046317864037292225,-0.004907324774213295,0.11118806884106174,0.020044300006702542,2,9463,3153
29,Bagging,0.010488694321164296,0.10241432673783632,0.07202524349494784,-0.5345773402396881,0.16384378768741556,0.9779709000140429,2,9463,3153
30,RF,0.009531549342355315,0.09762965401124453,0.0640921873947172,-0.3945396052433825,0.1459460360510054,15.466934799973387,2,9463,3153
31,LinearReg,0.007493719576584462,0.08656627274282093,0.05516187585898682,-0.09638930301674975,0.13004621269397745,0.026450600009411573,2,9463,3153
32,BayesRidge,0.007500793456935654,0.08660712128304261,0.05494527512200598,-0.09742426658438874,0.12966776904578356,0.016732799995224923,2,9463,3153
33,RidgeReg,0.0075373240250940915,0.08681776330391201,0.055254305262449836,-0.10276897207446112,0.13023432841708235,0.005642500007525086,2,9463,3153
34,PLS,0.007181868264392634,0.08474590411573077,0.05110912123952283,-0.05076303700497897,0.12041610254954936,0.022604500001762062,2,9463,3153
35,XGBoost,0.014998845995917352,0.12246977584660369,0.07820167770677822,-1.1944475156107472,0.1753102150946223,0.5814184999908321,2,9463,3153
36,AdaBoost,0.00655965232699131,0.08099168060357378,0.044658970872218706,-0.045764447163436195,0.10992977423942511,1.7639448000118136,3,12616,3153
37,Boosting,0.0074179485348893175,0.08612751322829028,0.059495935022623805,-0.18259725698502338,0.13501814065091775,3.7046150999958627,3,12616,3153
38,DecisionTree,0.006255513614629178,0.07909180497769146,0.035015891415761724,0.0027224903356227736,0.09431774870915724,0.023066199966706336,3,12616,3153
39,LassoReg,0.0062726966038362504,0.0792003573466449,0.033583635155147847,-1.6886435126206578e-05,0.09110635091627331,0.005103999981656671,3,12616,3153
40,PCR,0.0062812139087997125,0.07925410972813783,0.04136151698788367,-0.0013747472290261964,0.10799087022184968,0.06330360000720248,3,12616,3153
41,Bagging,0.011060424402657365,0.10516855234649455,0.07418683409150836,-0.7632944604768657,0.1666812336553648,1.6008260999806225,3,12616,3153
42,RF,0.008687959879156468,0.09320922636282564,0.06372950929403015,-0.3850672424542072,0.14525901284257542,20.25666449998971,3,12616,3153
43,LinearReg,0.006160378389627753,0.07848807800951527,0.04435122178895744,0.017889305742898598,0.11129092939865748,0.02746859996113926,3,12616,3153
44,BayesRidge,0.006032597372976327,0.07766979704477363,0.043966003203875746,0.038260636047495855,0.11053630336815476,0.026397999958135188,3,12616,3153
45,RidgeReg,0.0060592870284881745,0.07784142231799324,0.044088508526227525,0.03400567077647343,0.11076549158905233,0.006373200041707605,3,12616,3153
46,PLS,0.006075315313862016,0.07794430905372127,0.04325454786194535,0.03145038123407151,0.1091006186312055,0.02728400001069531,3,12616,3153
47,XGBoost,0.012134226582504543,0.11015546551353929,0.07789394968859943,-0.9344840429414949,0.17161666354066069,0.5474685999797657,3,12616,3153
48,AdaBoost,0.007263585202382595,0.08522666954881315,0.0471452132370931,-0.028110706862793045,0.1193962030067905,1.6443843999877572,4,15769,3153
49,Boosting,0.0070077362383072425,0.08371222275335449,0.044782174865864166,0.00810296062738003,0.11417741253928673,6.164737000013702,4,15769,3153
50,DecisionTree,0.006916016555586767,0.08316259108269035,0.039546322919742874,0.021085253146513327,0.10594264475717478,0.046666699985507876,4,15769,3153
51,LassoReg,0.0070649892310598,0.08405349029671404,0.03859851527661277,-8.081326441367054e-07,0.10262897216931839,0.01251059997593984,4,15769,3153
52,PCR,0.007104605632894351,0.0842888227044034,0.04423225954564684,-0.005608238314659619,0.11417225509940286,0.06864449998829514,4,15769,3153
53,Bagging,0.012697592397995679,0.11268359418298513,0.08868276175916592,-0.7972571852639421,0.20545190423266305,3.248874800046906,4,15769,3153
54,RF,0.009221432510034665,0.09602829015469694,0.06688268598303282,-0.30523057581391666,0.15745786041121523,22.180812200007495,4,15769,3153
55,LinearReg,0.0071291299819199,0.08443417543814767,0.04477595613941408,-0.009079491849861121,0.1133136070439229,0.03181110002333298,4,15769,3153
56,BayesRidge,0.007042671887270066,0.08392062849663405,0.044327915905096216,0.0031580589363945366,0.11232792608599988,0.03463710000505671,4,15769,3153
57,RidgeReg,0.00709518478800807,0.08423291985920986,0.044612944731550495,-0.00427478228359357,0.11295481090423347,0.015028900001198053,4,15769,3153
58,PLS,0.007068401748640215,0.0840737875240566,0.04382651590718809,-0.0004838266096123256,0.11163141489056455,0.028027699969243258,4,15769,3153
59,XGBoost,0.00945848375742201,0.09725473642667493,0.06208650003831151,-0.33878355533072146,0.14207243637904576,2.760837000038009,4,15769,3153
60,AdaBoost,0.009590723902066417,0.09793224138181673,0.06449301836553757,-0.12189834198833904,796324202227.8535,0.6629012000048533,0,3157,3153
61,Boosting,0.009010703245734324,0.09492472410143905,0.05671710156589106,-0.05404900972701121,720082758911.5913,1.9521473000058904,0,3157,3153
62,DecisionTree,0.00813302794386692,0.09018330191264301,0.038418302756784546,0.0486192013510911,713846594801.4376,0.014005400007590652,0,3157,3153
63,LassoReg,0.008548903742933748,0.09246028197520137,0.037338129497450384,-2.8885509758103112e-05,714472575652.0319,0.0073522000457160175,0,3157,3153
64,PCR,0.008142986378665751,0.09023849720970396,0.05014366301474938,0.047454289129272076,783729299970.0393,0.024774799996521324,0,3157,3153
65,Bagging,0.01069885297340919,0.10343525981699465,0.07237063420575253,-0.25152444535063845,710886771066.8827,0.491169799992349,0,3157,3153
66,RF,0.008697950308382127,0.09326280238327672,0.06039865667880052,-0.01746397136595368,786636388334.3254,4.656326099997386,0,3157,3153
67,LinearReg,5226471480772.817,2286147.73817722,282074.0800454926,-611379260690112.1,2.646558392162548e+19,0.013078399992082268,0,3157,3153
68,BayesRidge,0.006922323470581014,0.08320050162457564,0.04404005319279688,0.19024431276991383,764962998157.1226,0.010322999965865165,0,3157,3153
69,RidgeReg,0.00698954641788605,0.08360350721043974,0.04552858391795869,0.18238074439955965,773095671032.6237,0.003826599975582212,0,3157,3153
70,PLS,0.006932253115090996,0.08326015322524333,0.042559723834747876,0.18908276836241789,737850028546.0328,0.009805899986531585,0,3157,3153
71,XGBoost,0.03608161890836121,0.18995162254732442,0.14440346474660562,-3.220735456770239,920840460417.6315,0.39170089998515323,0,3157,3153
72,AdaBoost,0.010367020562657312,0.10181856688569778,0.06824098961837168,-0.2811314044596287,1.7565087681205975,1.1915058000013232,1,6310,3153
