,model,mse,rmse,mae,r2,mape,time,i,train,test
0,AdaBoost,0.014768075497312332,0.12152397087534761,0.08741865727300625,-0.7275316841540524,697050767709.4567,0.16670760000124574,0,3157,3153
1,Boosting,0.01108684644870492,0.10529409503246095,0.06828740074252455,-0.2969109293200898,669420013671.5186,0.7171683000051416,0,3157,3153
2,DecisionTree,0.008317776117972834,0.09120184273342745,0.04616524585988658,0.027007832664923348,748685823578.1741,0.003446800052188337,0,3157,3153
3,LassoReg,0.008548903742933748,0.09246028197520137,0.037338129497450384,-2.8885509758103112e-05,714472575652.0319,0.0023243000032380223,0,3157,3153
4,PCR,0.008531686957449608,0.09236713136960359,0.051333775141039394,0.0019850900030666807,788828006194.685,0.009680600021965802,0,3157,3153
5,Bagging,0.017145255261747,0.13093989178912208,0.09291987494282207,-1.0056080904358415,784633979464.2029,0.19828839995898306,0,3157,3153
6,RF,0.011192347033578338,0.1057938893962139,0.06792763082352063,-0.30925211779104433,811955800214.6476,1.7509440999710932,0,3157,3153
7,LinearReg,0.25660101695444004,0.5065580094662803,0.40389458418329244,-29.01653039054553,1649258506626.5354,0.00377070001559332,0,3157,3153
8,BayesRidge,0.008189212105497303,0.09049426559455191,0.051624833563219015,0.04204692188368275,761650885212.1425,0.0026267999783158302,0,3157,3153
9,RidgeReg,0.008470089033128916,0.09203308662176292,0.05508122343044646,0.009190657577628714,773120610898.3138,0.001456799975130707,0,3157,3153
10,PLS,0.00820898326475923,0.09060343958569801,0.053380541392501986,0.03973414226228589,727159575470.3395,0.0033731000148691237,0,3157,3153
11,XGBoost,0.044125716789418866,0.21006122152700832,0.16437956864128317,-4.161713444219762,926507658185.9585,0.1598558999830857,0,3157,3153
12,AdaBoost,0.0098234555830913,0.09911334714906615,0.07290779794796345,-0.21395895491372197,1.7636844705341534,0.2585662000346929,1,6310,3153
13,Boosting,0.00756610125134747,0.08698333892963336,0.04585035800379179,0.06499945053278156,1.6359589458164558,1.2542073999647982,1,6310,3153
14,DecisionTree,0.0076186556921631655,0.0872849110222561,0.04439543496348257,0.058504899454593695,1.618949917093379,0.010515500034671277,1,6310,3153
15,LassoReg,0.008092119929251353,0.08995621117661277,0.03905488411496622,-4.669360876841111e-06,1.5840286685223555,0.0024042000295594335,1,6310,3153
16,PCR,0.007851181487201691,0.08860689300049794,0.04568191386839001,0.029769922363505508,1.6416132170797877,0.01287949999095872,1,6310,3153
17,Bagging,0.009166340413794325,0.09574100696041549,0.057727460102195184,-0.13275424670994362,1.6158212576386013,0.39639499998884276,1,6310,3153
18,RF,0.00859983398447499,0.0927352898549144,0.05375817688003398,-0.06274674811931114,1.6197841578506562,3.518386300012935,1,6310,3153
19,LinearReg,0.007804589042980327,0.08834358518296802,0.04890956752508405,0.035527704277967365,1.5927200771318575,0.00883629999589175,1,6310,3153
20,BayesRidge,0.007766632805557524,0.08812850166409006,0.048592272712180945,0.04021824457964629,1.5904479075494444,0.0068236999795772135,1,6310,3153
21,RidgeReg,0.007788199661987207,0.08825077711831895,0.048793020448497065,0.037553064463474506,1.5911200790857984,0.0016854999703355134,1,6310,3153
22,PLS,0.007862418938616023,0.08867028216159022,0.049539179974760754,0.02838122521315478,1.5746484774113982,0.004233299987390637,1,6310,3153
23,XGBoost,0.010212346345980847,0.10105615441911911,0.06753979114404354,-0.2620171377089491,1.8064414909518245,0.20839270000578836,1,6310,3153
24,AdaBoost,0.0073130044457453205,0.08551610635281122,0.05273368554099792,-0.0699492775633801,0.12578893175927058,0.19422399997711182,2,9463,3153
25,Boosting,0.008890488799748292,0.09428938858508042,0.06002398011993974,-0.3007474751379746,0.1434294805992348,1.678092000016477,2,9463,3153
26,DecisionTree,0.006874827509536436,0.08291457959572873,0.04674467209166563,-0.005840592847019543,0.1128525948678544,0.010107800015248358,2,9463,3153
27,LassoReg,0.006835773685145451,0.08267873780571067,0.03918987698474705,-0.00012671539716602176,0.09724817409332423,0.0020390000427141786,2,9463,3153
28,PCR,0.006865143420732013,0.08285616103061988,0.04611845993636263,-0.004423735535223239,0.11077270880181192,0.010579499998129904,2,9463,3153
29,Bagging,0.008298154900126127,0.09109420892749509,0.06036052415805613,-0.21408443087498918,0.14190399059256387,0.4774709999910556,2,9463,3153
30,RF,0.007838772502964527,0.08853684263042436,0.058480031158883665,-0.14687322272997716,0.13859021051113474,4.650109299982432,2,9463,3153
31,LinearReg,0.0076716910971793666,0.08758819039790333,0.05512114992922696,-0.12242791700913713,0.13175283333302287,0.01590659999055788,2,9463,3153
32,BayesRidge,0.007662411567350944,0.08753520187530811,0.05505124121121574,-0.12107024981370351,0.13167639652954718,0.0038674999959766865,2,9463,3153
33,RidgeReg,0.007672568132142755,0.08759319683709892,0.05513782465411839,-0.12255623402746196,0.1318194240951015,0.001778900041244924,2,9463,3153
34,PLS,0.007043646471029298,0.08392643487620154,0.05006814254797046,-0.030540116446157395,0.11953196170633164,0.010448099987115711,2,9463,3153
35,XGBoost,0.01018960745891214,0.10094358552633317,0.06627319280547758,-0.49081861226823564,0.1526763340329759,0.2226541999843903,2,9463,3153
36,AdaBoost,0.006972633043393346,0.0835022936415123,0.05086713511258403,-0.11160338634017508,0.1238298782046144,0.3880654000095092,3,12616,3153
37,Boosting,0.00846097293065859,0.0919835470649974,0.06041623604567382,-0.348880129345718,0.1404777109975687,2.3275362999993376,3,12616,3153
38,DecisionTree,0.006531554626048653,0.0808180340397405,0.04306588106952912,-0.04128500599367246,0.10968103575621506,0.01709340000525117,3,12616,3153
39,LassoReg,0.0062726966038362504,0.0792003573466449,0.033583635155147847,-1.6886435126206578e-05,0.09110635091627331,0.004925500019453466,3,12616,3153
40,PCR,0.006263109112875579,0.07913980738462521,0.04089803688388271,0.0015115874358008208,0.10690432949660697,0.017077899945434183,3,12616,3153
41,Bagging,0.011502270700738755,0.10724863962185607,0.07672144548730801,-0.8337352592586862,0.1737841304588375,0.6597810999955982,3,12616,3153
42,RF,0.012163121982245844,0.11028654488307195,0.07779875009244157,-0.9390906562541688,0.1728333093766723,8.53120329999365,3,12616,3153
43,LinearReg,0.006608857460884129,0.08129487967199489,0.047355805923456,-0.053608914686706255,0.11870604728148561,0.01524859998608008,3,12616,3153
44,BayesRidge,0.00659882666760284,0.08123316236367288,0.04715984067811366,-0.052009767892408076,0.11823672673869952,0.0046190000139176846,3,12616,3153
45,RidgeReg,0.006608337600056935,0.08129168223168307,0.0473345011639167,-0.05352603651825283,0.11862966286699743,0.0023711000103503466,3,12616,3153
46,PLS,0.006511022387445668,0.08069090647306962,0.04707329792387531,-0.038011679286504396,0.1178916685547549,0.010445200023241341,3,12616,3153
47,XGBoost,0.021783554950996216,0.14759253013278217,0.11289098320486968,-2.4728162660156587,0.2602331967760735,0.2667490000021644,3,12616,3153
48,AdaBoost,0.0072484713179149915,0.08513795462609489,0.046910932390480053,-0.025971440094319842,0.12033113973606074,0.39222109998809174,4,15769,3153
49,Boosting,0.007656075943636194,0.08749900538655393,0.05288563145483393,-0.08366508148415419,0.13525367253105425,2.763165200012736,4,15769,3153
50,DecisionTree,0.007138472757560676,0.08448948311808208,0.044140509795815255,-0.010401897714247266,0.11451651483715569,0.016037599998526275,4,15769,3153
51,LassoReg,0.0070649892310598,0.08405349029671404,0.03859851527661277,-8.081326441367054e-07,0.10262897216931839,0.004309399984776974,4,15769,3153
52,PCR,0.0071016008431121005,0.08427099645258801,0.0440837154480595,-0.0051829309132966905,0.11385124191597948,0.020351700019091368,4,15769,3153
53,Bagging,0.010027553402674777,0.10013767224513848,0.06833375601082825,-0.41933146368912655,0.167220159013607,0.9425478000193834,4,15769,3153
54,RF,0.008893290975049184,0.09430424685585047,0.063390393021957,-0.258784390344198,0.15681208070948432,8.577906099963002,4,15769,3153
55,LinearReg,0.0071520382558269546,0.08456972422697709,0.04558611497527152,-0.012322001027265994,0.11529336597725864,0.022870600048918277,4,15769,3153
56,BayesRidge,0.007154934065837847,0.08458684333770736,0.045609376601061326,-0.012731883088849427,0.11516068269511943,0.004800800001248717,4,15769,3153
57,RidgeReg,0.007152741728332615,0.08457388325205728,0.04559681282278547,-0.012421572739430342,0.11527419555843774,0.00220470002386719,4,15769,3153
58,PLS,0.007090142945442019,0.08420298655892211,0.04484094984348534,-0.003561144020938656,0.11387287359257803,0.011843700020108372,4,15769,3153
59,XGBoost,0.00834891232840993,0.09137238274451383,0.05814882406759449,-0.18173132362809374,0.14154557042850183,0.31786299997475,4,15769,3153
60,AdaBoost,0.011147327311883436,0.10558090410620397,0.06904214147313825,-0.3039858259404984,726078086659.6686,0.2303799000219442,0,3157,3153
61,Boosting,0.011011115563119659,0.10493386280471934,0.0693867604089797,-0.288052124099234,675690149047.444,0.6652209999738261,0,3157,3153
62,DecisionTree,0.00831777611797283,0.09120184273342744,0.0461652458598862,0.02700783266492368,748685823578.1733,0.00416780001251027,0,3157,3153
63,LassoReg,0.008548903742933748,0.09246028197520137,0.037338129497450384,-2.8885509758103112e-05,714472575652.0319,0.0017747999518178403,0,3157,3153
