,model,mape,mae,time
193,RF,0.05453689573166336,0.02235718274640543,18.558665600023232
314,RF,0.054538246084895575,0.022344113511034654,32.743312699953094
94,RF,0.05464128919910513,0.02241591596935005,18.68094739993103
248,RF,0.05475966340635233,0.022326706931992957,18.54109640000388
215,RF,0.05478346176155276,0.022502782867503294,18.01482269994449
116,RF,0.054813757372571305,0.02226856949061356,19.66283749998547
17,RF,0.05489425781261329,0.02237318659423041,18.170850299997255
28,RF,0.054918063155502815,0.0224783923136197,17.331911799963564
61,RF,0.054920106421008405,0.022377267061256912,19.606091000023298
127,RF,0.054951061667820086,0.02238142165739137,19.17334670003038
226,RF,0.05499290587438469,0.022370288007466457,18.070448799990118
303,RF,0.0550048839722817,0.022491230107504492,32.80597770004533
83,RF,0.055010144307728916,0.022436009422724397,19.1378516999539
105,RF,0.05501632654877533,0.022484644709747457,18.811606099945493
72,RF,0.055026198755678844,0.022408981683240823,18.192634399980307
292,RF,0.05505794145742786,0.02235919394491432,32.16582249989733
281,RF,0.055095982098588764,0.022457313910662156,35.96996900008526
50,RF,0.0551006615626475,0.02247959152949807,18.95271630003117
259,RF,0.055113593544637136,0.022413184715777412,19.354359699995257
204,RF,0.05513811287696261,0.022395773445069385,18.172235999954864
325,RF,0.05513929376617585,0.022409910222424122,32.94904689991381
270,RF,0.05515852060860166,0.022500036567440006,30.674403800047003
6,RF,0.05517552408925242,0.02253261437090664,18.812951800064184
182,RF,0.05517618592029343,0.022511536495975606,19.053632600000128
160,RF,0.055266323768272244,0.022524268385484547,18.49011050001718
237,RF,0.055312750868020975,0.022489515560803044,18.328359400038607
39,RF,0.055347894584549064,0.02251275025282941,19.442587799974717
138,RF,0.05545927145985407,0.02256417265921997,18.291302599944174
171,RF,0.055579695480779415,0.022594588935574273,18.909927399945445
149,RF,0.05564614533676577,0.022602428217658253,18.274298999924213
82,Bagging,0.06095058674656059,0.025824454759447658,2.3145587999606505
225,Bagging,0.06096852912751627,0.025787815485268876,2.160247900057584
115,Bagging,0.06113439954045329,0.026057716997549607,2.336276000016369
291,Bagging,0.061533314091431555,0.025561550612767336,3.866025700001046
60,Bagging,0.0615591726799457,0.026004234522487703,2.1875743999844417
49,Bagging,0.06156582565586097,0.02545678590161807,2.0570199999492615
181,Bagging,0.06165874284837269,0.02596151054515392,2.115936700021848
104,Bagging,0.06179747789620909,0.025940479163598103,2.046481700032018
269,Bagging,0.061819350971883937,0.025942318884007724,2.2834006000775844
236,Bagging,0.061843448469540804,0.026037052500440444,2.3711593999760225
302,Bagging,0.06219086190139169,0.026206433205351303,3.9759297999553382
38,Bagging,0.0622062055448959,0.026222786684292856,2.1808176999911666
313,Bagging,0.06229543114981387,0.026009782156026142,3.8003809000365436
71,Bagging,0.062378707187237696,0.026304677290441676,2.2350191000150517
159,Bagging,0.062459961614789665,0.026278177782976978,2.2012075000675395
247,Bagging,0.06246865173191551,0.026182848512188765,2.0477243999484926
203,Bagging,0.06267276985242379,0.025854453633281524,2.1627047000220045
280,Bagging,0.06283422828943294,0.02631613123394712,3.969826100044884
214,Bagging,0.06311021874443701,0.026089416045134234,2.106159699964337
192,Bagging,0.06311702173130829,0.026287437681987873,2.1926985000027344
16,Bagging,0.06313517577800597,0.026167255118746766,2.0638969000428915
126,Bagging,0.0634506148919504,0.02624669943692643,2.213967200019397
324,Bagging,0.06347029444140362,0.02615407951466028,3.9146627999143675
27,Bagging,0.06350186345558596,0.026322995251268813,2.190495299990289
137,Bagging,0.06376868305183639,0.026747942514334055,2.144618400023319
5,Bagging,0.06381605105784803,0.026680530059197367,9.528795800055377
93,Bagging,0.06384065428397669,0.026571555002533158,2.2027657000580803
170,Bagging,0.06419708713464886,0.026311174384549704,2.051356100011617
148,Bagging,0.0642226712427378,0.026366797965302953,2.2289991000434384
258,Bagging,0.06502124171785807,0.026854001935199306,2.2551247000228614
23,Boosting,0.0995093295579384,0.0384388161235084,6.734908499987796
67,Boosting,0.09951247008722097,0.03844159015107205,7.456807799986564
1,Boosting,0.09951633579730229,0.038443520690105544,6.7721029000822455
144,Boosting,0.09951800487728812,0.038444356692383296,6.482511000009254
155,Boosting,0.09952005955325571,0.038445384564988694,8.21759229991585
265,Boosting,0.09952063325027115,0.03844447184799555,9.830124699976295
221,Boosting,0.09952089932536669,0.03844580461846208,5.75275350001175
287,Boosting,0.09952429460659702,0.03844509857160905,11.49825119995512
166,Boosting,0.09952443362983192,0.03844569440111469,6.852446999982931
89,Boosting,0.09952461411492837,0.038445782851908056,5.470234000007622
56,Boosting,0.09952588780911503,0.03844762329268197,5.368749900022522
188,Boosting,0.09952751654483129,0.038446710153943194,7.209962200024165
78,Boosting,0.09952751654483133,0.03844671015394322,5.842000899952836
34,Boosting,0.0995287754565013,0.03844854136836653,9.145823699887842
122,Boosting,0.09953177926252572,0.03845056674578216,8.919541700044647
133,Boosting,0.09953272612374951,0.03845051760890409,5.921006400021724
177,Boosting,0.09953576307646671,0.03845164116381177,7.715246600098908
298,Boosting,0.09953935654554788,0.03845382911234022,11.559252200066112
199,Boosting,0.09954072436253056,0.03845383799029999,5.928667900036089
210,Boosting,0.09954182478634604,0.0384538656653322,5.9791201000334695
254,Boosting,0.0995422917563997,0.03845409923904607,7.854117600014433
243,Boosting,0.09954294140567549,0.03845442403467884,6.921001199982129
100,Boosting,0.0995430223899229,0.03845446454735629,5.712166699930094
12,Boosting,0.09954310179950693,0.03845495693959107,7.386800399981439
45,Boosting,0.09954324021531001,0.0384549283370817,5.902060399996117
320,Boosting,0.09954341415851058,0.03845466030241237,11.359630899969488
309,Boosting,0.09954401666424045,0.03845576960314315,11.594892799970694
111,Boosting,0.09954926526756772,0.03845691045685196,9.128249799949117
232,Boosting,0.09955062228318921,0.038457417839712085,6.88685159990564
212,LassoReg,0.0995525401027949,0.036856097817848425,0.010978200007230043
245,LassoReg,0.0995525401027949,0.036856097817848425,0.012045900104567409
168,LassoReg,0.0995525401027949,0.036856097817848425,0.0091709999833256
157,LassoReg,0.0995525401027949,0.036856097817848425,0.010404700064100325
256,LassoReg,0.0995525401027949,0.036856097817848425,0.01921200007200241
135,LassoReg,0.0995525401027949,0.036856097817848425,0.0098289999878034
234,LassoReg,0.0995525401027949,0.036856097817848425,0.00959040003363043
223,LassoReg,0.0995525401027949,0.036856097817848425,0.013493099948391318
179,LassoReg,0.0995525401027949,0.036856097817848425,0.015462899929843843
201,LassoReg,0.0995525401027949,0.036856097817848425,0.011310199974104762
146,LassoReg,0.0995525401027949,0.036856097817848425,0.013343899976462126
113,LassoReg,0.0995525401027949,0.036856097817848425,0.012509700027294457
124,LassoReg,0.0995525401027949,0.036856097817848425,0.020568000036291778
91,LassoReg,0.0995525401027949,0.036856097817848425,0.012071600067429245
14,LassoReg,0.0995525401027949,0.036856097817848425,0.009078099974431098
3,LassoReg,0.0995525401027949,0.036856097817848425,0.017874600016511977
80,LassoReg,0.0995525401027949,0.036856097817848425,0.010416399920359254
69,LassoReg,0.0995525401027949,0.036856097817848425,0.014987500035203993
289,LassoReg,0.0995525401027949,0.036856097817848425,0.019876400008797646
58,LassoReg,0.0995525401027949,0.036856097817848425,0.013936599949374795
278,LassoReg,0.0995525401027949,0.036856097817848425,0.02179310005158186
190,LassoReg,0.0995525401027949,0.036856097817848425,0.014013399952091277
102,LassoReg,0.0995525401027949,0.036856097817848425,0.008299099979922175
47,LassoReg,0.0995525401027949,0.036856097817848425,0.01418629998806864
300,LassoReg,0.0995525401027949,0.036856097817848425,0.02444639999885112
311,LassoReg,0.0995525401027949,0.036856097817848425,0.031206499901600182
322,LassoReg,0.0995525401027949,0.036856097817848425,0.029343700036406517
36,LassoReg,0.0995525401027949,0.036856097817848425,0.015942699974402785
267,LassoReg,0.0995525401027949,0.036856097817848425,0.011139099951833487
25,LassoReg,0.0995525401027949,0.036856097817848425,0.012773899943567812
276,Boosting,0.09955524638236032,0.03846025392887295,11.637120799976401
288,DecisionTree,0.10294549667202653,0.03780255631683529,0.07049409998580813
178,DecisionTree,0.10294549667202771,0.03780255631683598,0.04191939998418093
189,DecisionTree,0.10294549667203,0.03780255631683735,0.035416899947449565
255,DecisionTree,0.10294549667203017,0.03780255631683745,0.04990640003234148
233,DecisionTree,0.102945496672031,0.03780255631683796,0.03411530004814267
310,DecisionTree,0.10294549667203232,0.03780255631683874,0.07113589998334646
266,DecisionTree,0.10294549667203276,0.037802556316839,0.036246499978005886
134,DecisionTree,0.102945496672033,0.037802556316839174,0.045259400038048625
68,DecisionTree,0.10294549667203368,0.03780255631683957,0.03559570002835244
167,DecisionTree,0.10294549667203379,0.037802556316839646,0.031375100021250546
79,DecisionTree,0.10294549667203405,0.037802556316839785,0.029790899949148297
211,DecisionTree,0.10294549667203415,0.03780255631683984,0.03302490001078695
299,DecisionTree,0.10294549667203429,0.03780255631683995,0.08007249992806464
123,DecisionTree,0.1029454966720344,0.03780255631684001,0.05212000000756234
145,DecisionTree,0.1029454966720346,0.03780255631684013,0.03658209997229278
13,DecisionTree,0.10294549667203463,0.03780255631684014,0.043603099999018013
35,DecisionTree,0.10294549667203477,0.03780255631684022,0.03723900008480996
222,DecisionTree,0.10294549667203481,0.03780255631684024,0.03714350005611777
200,DecisionTree,0.10294549667203517,0.037802556316840465,0.033594900043681264
46,DecisionTree,0.10294549667203517,0.037802556316840465,0.039608800085261464
101,DecisionTree,0.10294549667203519,0.0378025563168405,0.031068200012668967
156,DecisionTree,0.10294549667203542,0.037802556316840645,0.039961599977687
112,DecisionTree,0.10294549667203579,0.03780255631684084,0.04974289995152503
90,DecisionTree,0.10294549667203583,0.03780255631684086,0.039456000085920095
2,DecisionTree,0.10294549667203591,0.037802556316840916,0.04883270000573248
24,DecisionTree,0.10294549667203595,0.03780255631684093,0.031055000028572977
321,DecisionTree,0.10294549667203597,0.037802556316840936,0.07507890008855611
277,DecisionTree,0.10294549667203597,0.03780255631684096,0.06980679999105632
244,DecisionTree,0.1029454966720362,0.037802556316841124,0.03709780005738139
57,DecisionTree,0.10294549667203629,0.03780255631684113,0.029908399912528694
132,AdaBoost,0.10655932077183974,0.041165265412686516,1.3277593000093475
33,AdaBoost,0.10897844851072586,0.042355779097994366,1.5032925000414252
224,PCR,0.10908950327294302,0.041922086890573515,0.04200179991312325
147,PCR,0.10908950327294306,0.041922086890573126,0.055722499964758754
191,PCR,0.10908950327294316,0.04192208689057275,0.05229600006714463
257,PCR,0.10908950327294321,0.04192208689057305,0.061179199954494834
180,PCR,0.10908950327294321,0.041922086890573106,0.052910299971699715
59,PCR,0.10908950327294321,0.04192208689057272,0.04875349998474121
213,PCR,0.10908950327294326,0.041922086890573126,0.046657999977469444
103,PCR,0.10908950327294326,0.04192208689057295,0.04134400002658367
246,PCR,0.10908950327294328,0.041922086890573036,0.047822499996982515
92,PCR,0.1090895032729433,0.04192208689057307,0.04601559997536242
301,PCR,0.10908950327294334,0.041922086890573064,0.08637829998042434
81,PCR,0.10908950327294334,0.041922086890572925,0.04912149999290705
158,PCR,0.10908950327294338,0.04192208689057284,0.04810010001529008
290,PCR,0.10908950327294342,0.04192208689057289,0.09667110000737011
312,PCR,0.10908950327294342,0.04192208689057281,0.10036629997193813
323,PCR,0.10908950327294344,0.04192208689057284,0.10295369999948889
114,PCR,0.10908950327294344,0.04192208689057275,0.05629380000755191
4,PCR,0.10908950327294348,0.04192208689057291,0.061654599965550005
48,PCR,0.1090895032729435,0.04192208689057278,0.05168379994574934
26,PCR,0.10908950327294352,0.04192208689057305,0.048262599972076714
202,PCR,0.10908950327294356,0.041922086890572745,0.04966750007588416
235,PCR,0.10908950327294357,0.04192208689057261,0.04847929999232292
125,PCR,0.10908950327294357,0.04192208689057234,0.07168570009525865
70,PCR,0.1090895032729436,0.041922086890573175,0.03963469993323088
268,PCR,0.10908950327294362,0.04192208689057288,0.06552469998132437
279,PCR,0.10908950327294385,0.04192208689057293,0.10150149988476187
37,PCR,0.10908950327294396,0.04192208689057347,0.05442090006545186
15,PCR,0.10908950327294398,0.041922086890571815,0.0522859999909997
136,PCR,0.10908950327294398,0.041922086890572606,0.053881000028923154
169,PCR,0.10908950327294603,0.04192208689056705,0.04589840001426637
164,PLS,0.10926136421231056,0.04249164888559038,0.027356900041922927
263,PLS,0.10926136421231056,0.04249164888559038,0.028262900072149932
219,PLS,0.10926136421231056,0.04249164888559038,0.033504099934361875
230,PLS,0.10926136421231056,0.04249164888559038,0.028660799958743155
241,PLS,0.10926136421231056,0.04249164888559038,0.026448999997228384
252,PLS,0.10926136421231056,0.04249164888559038,0.025552299921400845
274,PLS,0.10926136421231056,0.04249164888559038,0.04147649998776615
285,PLS,0.10926136421231056,0.04249164888559038,0.04998489993158728
296,PLS,0.10926136421231056,0.04249164888559038,0.044900499982759356
307,PLS,0.10926136421231056,0.04249164888559038,0.04102000000420958
318,PLS,0.10926136421231056,0.04249164888559038,0.052182900020852685
208,PLS,0.10926136421231056,0.04249164888559038,0.020813699928112328
197,PLS,0.10926136421231056,0.04249164888559038,0.028374000103212893
329,PLS,0.10926136421231056,0.04249164888559038,0.04704279999714345
21,PLS,0.10926136421231056,0.04249164888559038,0.029480500030331314
43,PLS,0.10926136421231056,0.04249164888559038,0.021833900013007224
98,PLS,0.10926136421231056,0.04249164888559038,0.020925399963743985
54,PLS,0.10926136421231056,0.04249164888559038,0.04579940007533878
32,PLS,0.10926136421231056,0.04249164888559038,0.023639500024728477
65,PLS,0.10926136421231056,0.04249164888559038,0.03478830005042255
142,PLS,0.10926136421231056,0.04249164888559038,0.03988890000618994
153,PLS,0.10926136421231056,0.04249164888559038,0.028189699980430305
175,PLS,0.10926136421231056,0.04249164888559038,0.027203300036489964
87,PLS,0.10926136421231056,0.04249164888559038,0.025343599962070584
120,PLS,0.10926136421231056,0.04249164888559038,0.02420660003554076
10,PLS,0.10926136421231056,0.04249164888559038,0.057976100011728704
76,PLS,0.10926136421231056,0.04249164888559038,0.04925909999292344
186,PLS,0.10926136421231056,0.04249164888559038,0.023085699998773634
131,PLS,0.10926136421231056,0.04249164888559038,0.029674699995666742
109,PLS,0.10926136421231056,0.04249164888559038,0.02759630000218749
283,BayesRidge,0.10966276410517271,0.04268021741425596,0.030926699982956052
129,BayesRidge,0.10966276410517271,0.04268021741425596,0.046939199906773865
294,BayesRidge,0.10966276410517271,0.04268021741425596,0.040158199961297214
151,BayesRidge,0.10966276410517271,0.04268021741425596,0.02126229996792972
63,BayesRidge,0.10966276410517271,0.04268021741425596,0.05448660010006279
118,BayesRidge,0.10966276410517271,0.04268021741425596,0.0287312000291422
239,BayesRidge,0.10966276410517271,0.04268021741425596,0.013901400030590594
74,BayesRidge,0.10966276410517271,0.04268021741425596,0.0527767000021413
140,BayesRidge,0.10966276410517271,0.04268021741425596,0.05873839999549091
228,BayesRidge,0.10966276410517271,0.04268021741425596,0.01777489995583892
107,BayesRidge,0.10966276410517271,0.04268021741425596,0.018612299929372966
162,BayesRidge,0.10966276410517271,0.04268021741425596,0.018723299959674478
85,BayesRidge,0.10966276410517271,0.04268021741425596,0.027842900017276406
327,BayesRidge,0.10966276410517271,0.04268021741425596,0.03225440008100122
8,BayesRidge,0.10966276410517271,0.04268021741425596,0.04494599997997284
184,BayesRidge,0.10966276410517271,0.04268021741425596,0.016166499932296574
19,BayesRidge,0.10966276410517271,0.04268021741425596,0.01704870001412928
261,BayesRidge,0.10966276410517271,0.04268021741425596,0.01590459991712123
316,BayesRidge,0.10966276410517271,0.04268021741425596,0.07732789998408407
206,BayesRidge,0.10966276410517271,0.04268021741425596,0.021236400003544986
195,BayesRidge,0.10966276410517271,0.04268021741425596,0.01646509999409318
272,BayesRidge,0.10966276410517271,0.04268021741425596,0.03138429997488856
30,BayesRidge,0.10966276410517271,0.04268021741425596,0.017199199995957315
173,BayesRidge,0.10966276410517271,0.04268021741425596,0.016733900061808527
250,BayesRidge,0.10966276410517271,0.04268021741425596,0.01569469994865358
305,BayesRidge,0.10966276410517271,0.04268021741425596,0.03513159998692572
41,BayesRidge,0.10966276410517271,0.04268021741425596,0.020867399987764657
217,BayesRidge,0.10966276410517271,0.04268021741425596,0.02893849997781217
96,BayesRidge,0.10966276410517271,0.04268021741425596,0.042039499967359006
52,BayesRidge,0.10966276410517271,0.04268021741425596,0.028980899951420724
97,RidgeReg,0.10972494303237207,0.042714250632496044,0.007388500031083822
86,RidgeReg,0.10972494303237207,0.042714250632496044,0.011326299980282784
196,RidgeReg,0.10972494303237207,0.042714250632496044,0.0061564999632537365
75,RidgeReg,0.10972494303237207,0.042714250632496044,0.020538199925795197
284,RidgeReg,0.10972494303237207,0.042714250632496044,0.027178899967111647
64,RidgeReg,0.10972494303237207,0.042714250632496044,0.02934889995958656
295,RidgeReg,0.10972494303237207,0.042714250632496044,0.020148899988271296
42,RidgeReg,0.10972494303237207,0.042714250632496044,0.007241200073622167
306,RidgeReg,0.10972494303237207,0.042714250632496044,0.02475940005388111
31,RidgeReg,0.10972494303237207,0.042714250632496044,0.009447899996303022
20,RidgeReg,0.10972494303237207,0.042714250632496044,0.011319699930027127
317,RidgeReg,0.10972494303237207,0.042714250632496044,0.011391100008040667
9,RidgeReg,0.10972494303237207,0.042714250632496044,0.021936299977824092
273,RidgeReg,0.10972494303237207,0.042714250632496044,0.016760400030761957
53,RidgeReg,0.10972494303237207,0.042714250632496044,0.016969099990092218
262,RidgeReg,0.10972494303237207,0.042714250632496044,0.006395600037649274
141,RidgeReg,0.10972494303237207,0.042714250632496044,0.020193299977108836
108,RidgeReg,0.10972494303237207,0.042714250632496044,0.007799700018949807
218,RidgeReg,0.10972494303237207,0.042714250632496044,0.016623100033029914
130,RidgeReg,0.10972494303237207,0.042714250632496044,0.02890160004608333
251,RidgeReg,0.10972494303237207,0.042714250632496044,0.0064873999217525125
163,RidgeReg,0.10972494303237207,0.042714250632496044,0.010274800006300211
240,RidgeReg,0.10972494303237207,0.042714250632496044,0.014095499995164573
328,RidgeReg,0.10972494303237207,0.042714250632496044,0.018596200039610267
185,RidgeReg,0.10972494303237207,0.042714250632496044,0.010803700075484812
152,RidgeReg,0.10972494303237207,0.042714250632496044,0.015646600048057735
119,RidgeReg,0.10972494303237207,0.042714250632496044,0.009760499931871891
207,RidgeReg,0.10972494303237207,0.042714250632496044,0.00591449998319149
174,RidgeReg,0.10972494303237207,0.042714250632496044,0.013100899988785386
229,RidgeReg,0.10972494303237207,0.042714250632496044,0.006166899926029146
29,LinearReg,0.10973877491504284,0.042721307426558996,0.01914260000921786
62,LinearReg,0.10973877491504284,0.042721307426558996,0.041439900058321655
293,LinearReg,0.10973877491504284,0.042721307426558996,0.04075449996162206
227,LinearReg,0.10973877491504284,0.042721307426558996,0.021935599972493947
150,LinearReg,0.10973877491504284,0.042721307426558996,0.030014800024218857
161,LinearReg,0.10973877491504284,0.042721307426558996,0.02346399996895343
51,LinearReg,0.10973877491504284,0.042721307426558996,0.037643800023943186
304,LinearReg,0.10973877491504284,0.042721307426558996,0.043302100035361946
40,LinearReg,0.10973877491504284,0.042721307426558996,0.020302899996750057
172,LinearReg,0.10973877491504284,0.042721307426558996,0.02317499998025596
106,LinearReg,0.10973877491504284,0.042721307426558996,0.02291170007083565
73,LinearReg,0.10973877491504284,0.042721307426558996,0.06524519994854927
282,LinearReg,0.10973877491504284,0.042721307426558996,0.08168850000947714
260,LinearReg,0.10973877491504284,0.042721307426558996,0.027427099994383752
194,LinearReg,0.10973877491504284,0.042721307426558996,0.023965700063854456
326,LinearReg,0.10973877491504284,0.042721307426558996,0.04869700002018362
7,LinearReg,0.10973877491504284,0.042721307426558996,0.05831580003723502
249,LinearReg,0.10973877491504284,0.042721307426558996,0.0237916000187397
95,LinearReg,0.10973877491504284,0.042721307426558996,0.06922920001670718
117,LinearReg,0.10973877491504284,0.042721307426558996,0.030589000089094043
139,LinearReg,0.10973877491504284,0.042721307426558996,0.06442830001469702
216,LinearReg,0.10973877491504284,0.042721307426558996,0.03505519998725504
128,LinearReg,0.10973877491504284,0.042721307426558996,0.0587629999499768
18,LinearReg,0.10973877491504284,0.042721307426558996,0.0321610999526456
84,LinearReg,0.10973877491504284,0.042721307426558996,0.026493299985304475
183,LinearReg,0.10973877491504284,0.042721307426558996,0.020394599996507168
205,LinearReg,0.10973877491504284,0.042721307426558996,0.020594000001437962
238,LinearReg,0.10973877491504284,0.042721307426558996,0.02274849999230355
315,LinearReg,0.10973877491504284,0.042721307426558996,0.03794429998379201
271,LinearReg,0.10973877491504284,0.042721307426558996,0.03367380006238818
11,AdaBoost,0.11049659354236463,0.04285435453843123,2.176474899984896
0,AdaBoost,0.1110424149866858,0.04380568330885214,1.5998972000088543
275,AdaBoost,0.11127019310827256,0.04358847980979286,3.262403200031258
88,AdaBoost,0.11134166560176609,0.04391663726984911,1.0185681000584736
22,AdaBoost,0.11172444332445848,0.043933393269852454,1.644530100049451
143,AdaBoost,0.11288099456112205,0.044389605058083724,2.1920639000600204
198,AdaBoost,0.1130888180717519,0.04469493921564902,1.552156100049615
165,AdaBoost,0.11331564374972398,0.044634390148991704,1.220582599984482
297,AdaBoost,0.11342124501783163,0.04487038091889907,2.2076845999108627
121,AdaBoost,0.11350192254328083,0.04488531132159441,2.241117099998519
209,AdaBoost,0.11376852614742804,0.04494635331676385,1.5009644000092521
77,AdaBoost,0.11398524349917176,0.044938710070682425,1.9886112000094727
319,AdaBoost,0.11483229267331377,0.04544805362177895,2.447522799950093
154,AdaBoost,0.11485221886839236,0.045223523882674935,2.07974119996652
253,AdaBoost,0.11536850920467144,0.04604017862026626,1.7887559999944642
99,AdaBoost,0.11537908145463005,0.04580926204255916,2.61639149999246
308,AdaBoost,0.11540146583322322,0.0459120968128385,3.9758751000044867
242,AdaBoost,0.11548869201403908,0.045682456535241216,1.8664920999435708
66,AdaBoost,0.11572391265685637,0.04589585952974652,1.39899580006022
44,AdaBoost,0.115899789736721,0.04586723443156695,0.990472000092268
55,AdaBoost,0.1160819856112734,0.04616713342475065,2.046364299952984
220,AdaBoost,0.11609185135972439,0.046335922061965226,1.235288399970159
176,AdaBoost,0.11669566212405715,0.04621505913221839,1.9319769000867382
286,AdaBoost,0.11799044821075945,0.04694856864349093,2.3801077000098303
