,model,mse,rmse,mae,r2,mape,time
98,Bagging,0.005472584,0.073976919,0.041172498,0.275591828,2.53E+11,1.5759833
99,ArbolDecision,0.007033682,0.083867047,0.039382359,0.068948785,3.95E+11,0.0397606
100,ReforzamientoAda,0.00653178,0.080819425,0.042847984,0.135385763,3.80E+11,0.640424
101,BayesianRidge,0.006596477,0.081218701,0.044323369,0.126821679,4.03E+11,0.0095663
102,Gradiente,0.005932394,0.077022038,0.039443838,0.214726606,3.96E+11,2.7913934
103,RegresionLineal,0.006596614,0.081219542,0.04435878,0.126803591,4.03E+11,0.0065948
104,RandomForest,0.00495363,0.070382029,0.037380956,0.344286042,3.18E+11,11.2011682
105,Bagging,0.005445131,0.073791133,0.041133666,0.279225824,3.12E+11,1.4529421
106,ArbolDecision,0.007033682,0.083867047,0.039382359,0.068948785,3.95E+11,0.0355607
107,ReforzamientoAda,0.00661654,0.081342117,0.042220464,0.124165975,3.88E+11,0.5226384
108,BayesianRidge,0.006596477,0.081218701,0.044323369,0.126821679,4.03E+11,0.0069545
109,Gradiente,0.005934481,0.077035582,0.03944617,0.214450425,3.96E+11,2.8437288
110,RegresionLineal,0.006596614,0.081219542,0.04435878,0.126803591,4.03E+11,0.0045018
111,RandomForest,0.004964047,0.070455996,0.037535056,0.342907081,2.98E+11,12.0886272
112,Bagging,0.005556763,0.074543696,0.041281879,0.264449135,3.74E+11,1.596274
113,ArbolDecision,0.007033682,0.083867047,0.039382359,0.068948785,3.95E+11,0.0268348
114,ReforzamientoAda,0.006524466,0.080774166,0.040095437,0.13635388,3.85E+11,0.5998044
115,BayesianRidge,0.006596477,0.081218701,0.044323369,0.126821679,4.03E+11,0.0110606
116,Gradiente,0.005935838,0.077044387,0.0394561,0.214270836,3.96E+11,3.2461098
117,RegresionLineal,0.006596614,0.081219542,0.04435878,0.126803591,4.03E+11,0.0046363
118,RandomForest,0.004905382,0.07003843,0.037171223,0.350672696,3.03E+11,13.872287
119,Bagging,0.005440416,0.073759177,0.041373258,0.279849966,3.07E+11,1.585987
120,ArbolDecision,0.007033682,0.083867047,0.039382359,0.068948785,3.95E+11,0.0333637
121,ReforzamientoAda,0.006610914,0.081307526,0.041396369,0.124910719,3.94E+11,0.682657
122,BayesianRidge,0.006596477,0.081218701,0.044323369,0.126821679,4.03E+11,0.009705
