,model,mape,mae,time
104,Bagging,0.10611132494197065,0.041085426203608374,1.2900921999971615
27,Bagging,0.11102958358091189,0.04170936291210197,1.29702109999198
115,Bagging,0.1112567364729324,0.04189824685852181,1.1341078999976162
193,RF,0.11132931589442369,0.038075945392306514,10.595311800003401
170,Bagging,0.11170225487879933,0.04192032814002012,1.5856113000045298
39,RF,0.11187927532979364,0.03803191352186877,10.88414000000921
28,RF,0.11240600127899143,0.03801678334085957,10.617050000000745
237,RF,0.11246519977692271,0.03802877215915983,10.535927300006733
149,RF,0.11282927143969272,0.03817365618510229,10.541947499994421
171,RF,0.11309745993400931,0.03793793677054756,10.833696399990004
17,RF,0.11325778784281865,0.03791736393245066,10.589734699999099
314,RF,0.11346216984070281,0.0380122558072,13.9238658999966
303,RF,0.11384219067321207,0.037923935146238416,12.140653800001019
248,RF,0.11385067047885476,0.03790126407411935,11.659740900009638
105,RF,0.11395401411763932,0.03800865313544821,10.572463299991796
61,RF,0.11421375017807746,0.038151935401240226,10.708782100002281
127,RF,0.11440804408823678,0.03795733538709334,10.635665699999663
160,RF,0.11449414541787299,0.038066641955251855,10.747771700000158
292,RF,0.11468232253376676,0.03800384848853163,11.240047300001606
270,RF,0.11476487587212947,0.038196897884365776,10.775279200010118
236,Bagging,0.1148506869169091,0.04178108054836252,1.2131192999950144
281,RF,0.11504571983362613,0.0379721057486283,10.770376000000397
137,Bagging,0.11505383666393382,0.04173126509485867,1.2173378000006778
50,RF,0.11508668384392366,0.03787603872983639,10.569533900008537
72,RF,0.11517863693138217,0.03800220455795115,11.022253300005104
226,RF,0.11528492595259242,0.038197584725842816,10.685737600011635
325,RF,0.11537508887099901,0.03797010980797133,11.767462699994212
259,RF,0.11548484213520006,0.03787292401969653,10.619321899997885
182,RF,0.11581820837395461,0.03812070904761098,11.29511310000089
71,Bagging,0.11601532892211179,0.04205098741042469,1.1803245000046445
138,RF,0.11638335419541958,0.0380776587376585,10.916941599993152
6,RF,0.11660088182755246,0.0381772555351299,11.026837900004466
60,Bagging,0.11664966769535721,0.04173728711959809,1.2430063000065275
116,RF,0.11669188156021582,0.038071951500402795,10.818677299990668
94,RF,0.11696188315141245,0.03816247597880967,10.60624480000115
204,RF,0.11696620583299015,0.03816771231750838,10.73000769999635
302,Bagging,0.11722242262285494,0.04175299672482553,1.3664298000076087
159,Bagging,0.11731816202587099,0.042083063528100324,1.3030310000031022
181,Bagging,0.1175900322697017,0.042080177089088205,1.2309466000006068
5,Bagging,0.11818292748941539,0.04171074124173531,4.079907799998182
324,Bagging,0.11828419655257627,0.0416303593179062,1.4044871000078274
83,RF,0.11878027513515307,0.03809823558977142,10.33821380000154
148,Bagging,0.11902890915166296,0.041769487120906924,1.2619665999955032
215,RF,0.11923047992333982,0.03813225426916024,10.436528599995654
313,Bagging,0.11961164956371437,0.04150107355720534,1.4145583999925293
82,Bagging,0.11972407217916244,0.04194648772429255,1.1865340000076685
126,Bagging,0.11993341986858926,0.04187795879465301,1.155349099994055
16,Bagging,0.12015646554136407,0.041706463690009445,1.2961887999990722
192,Bagging,0.12234387674637585,0.04162460991070923,1.1798717000056058
214,Bagging,0.12266091897388799,0.041598911444383706,1.2156906000018353
225,Bagging,0.12270185640361352,0.041582971174510756,1.2273435999959474
203,Bagging,0.1233304600582159,0.04167770039236365,1.1277188000094611
280,Bagging,0.12349590043848477,0.041970140637738976,1.1544743999984348
269,Bagging,0.12475154635451229,0.04164937522829995,1.2310695000051055
93,Bagging,0.1250392405268637,0.0415331342468192,1.0278344999969704
247,Bagging,0.12563482425033368,0.042449796610968385,1.2658514999930048
38,Bagging,0.12620481489424787,0.04153729565570672,1.2203107999957865
258,Bagging,0.12650269232397407,0.042378086628762676,1.250469599995995
291,Bagging,0.12790253399724696,0.04173612058918864,1.2071315000066534
49,Bagging,0.12859180109889237,0.04184128075501678,1.2674698000046192
198,AdaBoost,0.16460212874520314,0.04168631710746071,0.3461246999941068
99,AdaBoost,0.16485020011458687,0.04101059899724431,0.524194500001613
232,Boosting,0.16567808481623578,0.03966682046648382,2.780164700001478
166,Boosting,0.16568086137021193,0.03966787701475824,2.726640800014138
45,Boosting,0.16569022039691228,0.039672199461604114,2.9088106999988668
199,Boosting,0.16569057255063627,0.039674151807931435,3.0196328000020003
100,Boosting,0.16569428403906078,0.03967416154734717,3.217400199995609
122,Boosting,0.16569500651526545,0.03967423560055166,2.7925875000073574
177,Boosting,0.16569831279674332,0.03967515662797328,3.043023999998695
78,Boosting,0.1656986879663325,0.039676890629901075,3.1339617000048747
111,Boosting,0.1656998151026977,0.039677690148248575,3.2005217999976594
320,Boosting,0.16570042863868856,0.0396783600114356,3.045548800000688
210,Boosting,0.1657006978835666,0.03967783150360019,3.2056238999939524
133,Boosting,0.16570446940131836,0.039681837433483226,2.773986500003957
265,Boosting,0.16570447441413158,0.03967990528509672,2.9006928999879165
34,Boosting,0.16570504527437932,0.03968011372728972,2.8235348999878624
144,Boosting,0.1657087242132336,0.03968130846319446,2.885807400001795
23,Boosting,0.16570883113829732,0.03968119854934777,2.747247100007371
155,Boosting,0.16570900754861564,0.03968463373168694,2.846486399997957
89,Boosting,0.1657101617543684,0.03968210400194244,2.963053100000252
12,Boosting,0.16571195004631778,0.03968420979146685,3.082862600000226
287,Boosting,0.16571314814057886,0.039684446770702604,3.0095196000038413
298,Boosting,0.16571555389488477,0.03968614876705413,3.052784300001804
188,Boosting,0.16571556881060137,0.039685795873585915,3.405478699991363
254,Boosting,0.16571998304318136,0.03968742537358767,3.113627600003383
67,Boosting,0.1657215930090513,0.03968883729776315,2.9949201000126777
309,Boosting,0.16572193118042094,0.039689722804626855,7.227777599997353
221,Boosting,0.16572223945680242,0.03969051579807371,2.8173576000117464
56,Boosting,0.16572878066432528,0.03969101423305629,3.0277432999864686
276,Boosting,0.16573077911866976,0.039692861221329506,3.035182099993108
1,Boosting,0.16573419945143333,0.03969580758812999,2.846922099997755
243,Boosting,0.1657384012229356,0.039697470154344335,2.9530718000023626
286,AdaBoost,0.16723187616561,0.04294139333220261,0.6767123000026913
308,AdaBoost,0.16730704336867835,0.04372553369479336,0.585428000005777
22,AdaBoost,0.16736796766533016,0.04298009242490489,0.5014626000047429
135,LassoReg,0.1675651340534719,0.038050991690166756,0.005040199990617111
113,LassoReg,0.1675651340534719,0.038050991690166756,0.004189500003121793
168,LassoReg,0.1675651340534719,0.038050991690166756,0.006478600000264123
124,LassoReg,0.1675651340534719,0.038050991690166756,0.0041049999999813735
157,LassoReg,0.1675651340534719,0.038050991690166756,0.006116399992606603
201,LassoReg,0.1675651340534719,0.038050991690166756,0.004095500000403263
289,LassoReg,0.1675651340534719,0.038050991690166756,0.004426999992574565
179,LassoReg,0.1675651340534719,0.038050991690166756,0.005481800006236881
190,LassoReg,0.1675651340534719,0.038050991690166756,0.0041258999990532175
146,LassoReg,0.1675651340534719,0.038050991690166756,0.00417590000142809
300,LassoReg,0.1675651340534719,0.038050991690166756,0.007247000001370907
245,LassoReg,0.1675651340534719,0.038050991690166756,0.004150299995671958
256,LassoReg,0.1675651340534719,0.038050991690166756,0.00583159999223426
3,LassoReg,0.1675651340534719,0.038050991690166756,0.004286399998818524
14,LassoReg,0.1675651340534719,0.038050991690166756,0.004236199994920753
36,LassoReg,0.1675651340534719,0.038050991690166756,0.0062369000079343095
278,LassoReg,0.1675651340534719,0.038050991690166756,0.004724500002339482
102,LassoReg,0.1675651340534719,0.038050991690166756,0.0057234999985666946
47,LassoReg,0.1675651340534719,0.038050991690166756,0.004988700005924329
322,LassoReg,0.1675651340534719,0.038050991690166756,0.014701599997351877
234,LassoReg,0.1675651340534719,0.038050991690166756,0.005064600001787767
69,LassoReg,0.1675651340534719,0.038050991690166756,0.00443000000086613
223,LassoReg,0.1675651340534719,0.038050991690166756,0.004248400000506081
58,LassoReg,0.1675651340534719,0.038050991690166756,0.0034487999946577474
25,LassoReg,0.1675651340534719,0.038050991690166756,0.004196399997454137
212,LassoReg,0.1675651340534719,0.038050991690166756,0.006296399995335378
80,LassoReg,0.1675651340534719,0.038050991690166756,0.00541529999463819
311,LassoReg,0.1675651340534719,0.038050991690166756,0.00869119999697432
91,LassoReg,0.1675651340534719,0.038050991690166756,0.00483669999812264
267,LassoReg,0.1675651340534719,0.038050991690166756,0.0033915000094566494
154,AdaBoost,0.16764967667450556,0.04271150518638467,0.5031072999991011
187,AdaBoost,0.167784816820439,0.0425917356432224,0.5890227000054438
77,AdaBoost,0.16804395217019133,0.043832956439964245,0.68683360000432
123,DecisionTree,0.16874560998505145,0.038786705460909614,0.015411799991852604
134,DecisionTree,0.16874560998505184,0.03878670546090986,0.015962400007992983
57,DecisionTree,0.1687456099850521,0.03878670546091003,0.015648100001271814
13,DecisionTree,0.1687456099850524,0.038786705460910224,0.017760299990186468
310,DecisionTree,0.16874560998505464,0.03878670546091176,0.018913200008682907
189,DecisionTree,0.16874560998505575,0.0387867054609125,0.01582349999807775
167,DecisionTree,0.16874560998505583,0.03878670546091256,0.020627599995350465
79,DecisionTree,0.1687456099850559,0.038786705460912584,0.017225799994776025
211,DecisionTree,0.1687456099850561,0.03878670546091275,0.015416299997013994
46,DecisionTree,0.16874560998505617,0.03878670546091278,0.019393099995795637
2,DecisionTree,0.1687456099850562,0.038786705460912806,0.016666600000462495
255,DecisionTree,0.1687456099850562,0.038786705460912806,0.01975279999896884
156,DecisionTree,0.1687456099850581,0.03878670546091417,0.015735499997390434
145,DecisionTree,0.16874560998505844,0.03878670546091436,0.015942499987431802
112,DecisionTree,0.16874560998505878,0.0387867054609146,0.01721259999612812
299,DecisionTree,0.16874560998505955,0.03878670546091514,0.01843199999711942
222,DecisionTree,0.16874560998505955,0.03878670546091514,0.016367699994589202
321,DecisionTree,0.16874560998506005,0.038786705460915435,0.016061200003605336
244,DecisionTree,0.16874560998506005,0.038786705460915456,0.014958999992813915
288,DecisionTree,0.16874560998506005,0.03878670546091544,0.015715400004410185
68,DecisionTree,0.16874560998506016,0.03878670546091551,0.016764900006819516
24,DecisionTree,0.1687456099850602,0.038786705460915526,0.01549249999516178
266,DecisionTree,0.16874560998506022,0.038786705460915546,0.016787600005045533
277,DecisionTree,0.16874560998506022,0.038786705460915546,0.016672099998686463
35,DecisionTree,0.16874560998506027,0.03878670546091564,0.01912060000177007
200,DecisionTree,0.16874560998506036,0.03878670546091565,0.017278900006203912
90,DecisionTree,0.16874560998506047,0.038786705460915734,0.01553079999575857
178,DecisionTree,0.1687456099850605,0.03878670546091574,0.017013900011079386
233,DecisionTree,0.16874560998506127,0.03878670546091631,0.01588639999681618
101,DecisionTree,0.16874560998506202,0.03878670546091682,0.01626419999229256
44,AdaBoost,0.1688178201016296,0.04278819359233956,0.4462398000032408
275,AdaBoost,0.1690147987215677,0.043017148797239065,0.4577288000000408
253,AdaBoost,0.16914311999611942,0.04482943282288522,0.7106392000132473
220,AdaBoost,0.16940339114906056,0.04277721391907013,0.4106904999935068
165,AdaBoost,0.169514593835713,0.04419455260996838,0.4370338000007905
143,AdaBoost,0.16952147548744026,0.04289656292404129,0.45880249999754597
11,AdaBoost,0.16955545630119034,0.04331532426784845,1.1423890000005485
0,AdaBoost,0.17040951454647402,0.04353274731315538,0.6894617000070866
121,AdaBoost,0.17045791283333075,0.04471520422006956,0.829269399997429
33,AdaBoost,0.17067052051334006,0.044677917432978415,0.4644666999956826
319,AdaBoost,0.17072788099779784,0.04187034831439319,0.8265586999914376
297,AdaBoost,0.17108249906851536,0.043832651544570625,1.4031395000056364
55,AdaBoost,0.17137689432468078,0.04451005554643366,0.5269073999952525
264,AdaBoost,0.17160673926994885,0.044233481776199075,0.43627249999553896
132,AdaBoost,0.1719696710463564,0.04394622041132849,0.4716852999990806
231,AdaBoost,0.17208473122625,0.04437889492419728,0.716980400000466
209,AdaBoost,0.17219321906940194,0.04544829795509291,0.48899520000850316
66,AdaBoost,0.17327521164660442,0.04618213650214458,0.5709745000058319
